CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Goldsboro, NC",24140,2015,197,63,134,0,0,0,0,87,69,53,0,0,0,197,0
"Grand Island, NE",24260,2015,115,98,17,0,0,0,0,83,53,32,0,0,0,115,0
"Grand Junction, CO",24300,2015,365,225,137,3,0,0,0,105,70,48,0,0,264,101,0
"Grand Rapids-Wyoming, MI",24340,2015,365,202,160,2,1,0,0,154,67,48,0,0,123,242,0
"Grants Pass, OR",24420,2015,365,241,118,4,2,0,0,171,69,37,0,0,0,365,0
"Great Falls, MT",24500,2015,347,271,67,3,6,0,0,170,59,35,0,0,0,347,0
"Greeley, CO",24540,2015,365,224,132,9,0,0,0,133,80,47,0,0,324,39,2
"Green Bay, WI",24580,2015,362,235,124,3,0,0,0,122,68,43,0,0,156,206,0
"Greenfield Town, MA",24640,2015,365,233,132,0,0,0,0,100,64,44,0,0,135,230,0
"Greensboro-High Point, NC",24660,2015,364,210,153,1,0,0,0,112,64,47,0,0,143,221,0
"Greenville, NC",24780,2015,258,212,46,0,0,0,0,80,54,41,0,0,173,85,0
"Greenville-Anderson-Mauldin, SC",24860,2015,365,184,179,2,0,0,0,112,71,50,0,18,158,189,0
"Greenwood, SC",24940,2015,266,261,5,0,0,0,0,71,44,32,0,0,266,0,0
"Grenada, MS",24980,2015,116,97,19,0,0,0,0,69,54,34,0,0,0,116,0
"Guayama, PR",25020,2015,110,91,19,0,0,0,0,68,55,25,0,0,0,84,26
"Gulfport-Biloxi-Pascagoula, MS",25060,2015,365,206,157,2,0,0,0,115,64,46,0,0,89,276,0
"Hagerstown-Martinsburg, MD-WV",25180,2015,349,147,201,1,0,0,0,101,71,53,0,0,101,248,0
"Hailey, ID",25200,2015,202,192,8,2,0,0,0,138,34,13,0,0,0,202,0
"Hammond, LA",25220,2015,114,84,30,0,0,0,0,98,57,39,0,0,0,114,0
"Hanford-Corcoran, CA",25260,2015,365,72,223,60,10,0,0,182,119,74,0,0,179,153,33
"Harrisburg-Carlisle, PA",25420,2015,365,89,268,8,0,0,0,124,80,58,0,0,53,312,0
"Harrison, AR",25460,2015,365,329,36,0,0,0,0,90,50,35,0,0,325,40,0
"Harrisonburg, VA",25500,2015,361,306,55,0,0,0,0,90,55,36,0,104,174,83,0
"Hartford-West Hartford-East Hartford, CT",25540,2015,365,165,184,16,0,0,0,147,79,52,0,15,100,250,0
"Hattiesburg, MS",25620,2015,354,177,177,0,0,0,0,78,59,51,0,0,0,354,0
"Helena, MT",25740,2015,365,254,98,8,5,0,0,178,69,44,0,0,196,169,0
"Hermiston-Pendleton, OR",25840,2015,365,246,110,6,3,0,0,160,63,41,0,0,120,245,0
"Hickory-Lenoir-Morganton, NC",25860,2015,362,167,195,0,0,0,0,97,67,52,0,0,113,249,0
"Hilo, HI",25900,2015,365,12,353,0,0,0,0,99,74,63,0,0,0,365,0
"Hobbs, NM",26020,2015,361,278,82,0,1,0,0,159,64,41,0,3,316,42,0
"Holland, MI",26090,2015,243,169,70,4,0,0,0,147,71,42,0,0,165,78,0
"Homosassa Springs, FL",26140,2015,135,115,20,0,0,0,0,69,52,32,0,0,0,135,0
"Hot Springs, AR",26300,2015,120,77,43,0,0,0,0,75,61,46,0,0,0,120,0
"Houghton, MI",26340,2015,118,111,7,0,0,0,0,63,38,17,0,0,0,118,0
"Houma-Thibodaux, LA",26380,2015,365,271,94,0,0,0,0,97,58,39,0,0,157,208,0
"Houston-The Woodlands-Sugar Land, TX",26420,2015,365,82,238,30,14,1,0,203,105,59,0,6,113,238,8
"Huntington, IN",26540,2015,178,175,3,0,0,0,0,71,40,31,0,0,178,0,0
"Huntington-Ashland, WV-KY-OH",26580,2015,365,153,208,4,0,0,0,112,73,52,0,0,75,290,0
"Huntsville, AL",26620,2015,333,265,68,0,0,0,0,87,58,39,0,0,195,85,53
